SKU,Product Title,Alibaba Category,Collection,Brief Description,Available Sizes,Material,Certifications,Unit Price – 1–9 units (USD FOB),Unit Price – 10–99 units (USD FOB),Unit Price – 100+ units (USD FOB),Minimum Order Quantity,Supply Ability (per month),Lead Time,Place of Origin,Brand,Port of Export,Payment Terms,Packaging,Product Image URL,Product Page URL,Keywords
LS-PALM-QP-ROUND-5FT,Commercial Artificial Queen Palm Tree — Round Pot – 5 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Premium artificial Queen Palm purpose-built for hotel lobbies, resort pool areas and commercial atriums. Botanical-specimen PE fronds, individually hand-positioned for natural drape. A special-order NFPA 701 option is available for select configurations; documentation is tied to the project or order.",5 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, round ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",129.00,103.00,80.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-round.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm tree, commercial artificial palm, hotel lobby palm, fake palm indoor, NFPA 701 palm tree"
LS-PALM-QP-ROUND-6FT,Commercial Artificial Queen Palm Tree — Round Pot – 6 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Premium artificial Queen Palm purpose-built for hotel lobbies, resort pool areas and commercial atriums. Botanical-specimen PE fronds, individually hand-positioned for natural drape. A special-order NFPA 701 option is available for select configurations; documentation is tied to the project or order.",6 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, round ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",129.00,103.00,80.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-round.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm tree, commercial artificial palm, hotel lobby palm, fake palm indoor, NFPA 701 palm tree"
LS-PALM-QP-ROUND-7FT,Commercial Artificial Queen Palm Tree — Round Pot – 7 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,"Premium artificial Queen Palm purpose-built for hotel lobbies, resort pool areas and commercial atriums. Botanical-specimen PE fronds, individually hand-positioned for natural drape. A special-order NFPA 701 option is available for select configurations; documentation is tied to the project or order.",7 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, round ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",129.00,103.00,80.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-round.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm tree, commercial artificial palm, hotel lobby palm, fake palm indoor, NFPA 701 palm tree"
LS-PALM-QP-WHITE-4FT,Commercial Artificial Queen Palm Tree — White Pot – 4 ft,Artificial Plant & Flower/Artificial Trees/Artificial Palm Trees,Artificial Palm Trees,Contemporary white-pot Queen Palm for minimalist hotel lobbies and corporate reception areas. Same premium PE foliage and steel armature as our classic round-pot model. Special-order NFPA 701 option available for select configurations.,4 ft,"Injection-moulded PE foliage, steel armature, fibreglass trunk, white ceramic-look pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",119.00,95.00,74.00,1,2000 pcs/month,15–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-palm-queen-white.webp,https://laysun.co/artificial-palm-trees,"artificial queen palm white pot, contemporary artificial palm, minimalist palm tree, office lobby palm"
LS-OLIVE-LS-NEW-6FT,LS New Style Commercial Artificial Olive Tree – 6 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,"LaySun's flagship 2025 olive tree design with dense natural canopy and realistic gnarled trunk. Ideal for hotel lobbies, restaurant entrances and retail spaces. A special-order NFPA 701 option is available for select configurations.",6 ft,"PE foliage with silk olive leaves, steel wire branches, fibreglass trunk, pot included","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",89.00,71.00,55.00,1,2000 pcs/month,15–25 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-new.webp,https://laysun.co/artificial-olive-trees,"artificial olive tree commercial, fake olive tree indoor, hotel olive tree, restaurant olive tree, NFPA 701 olive tree"
LS-OLIVE-LS-NEW-7FT,LS New Style Commercial Artificial Olive Tree – 7 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,"LaySun's flagship 2025 olive tree design with dense natural canopy and realistic gnarled trunk. Ideal for hotel lobbies, restaurant entrances and retail spaces. A special-order NFPA 701 option is available for select configurations.",7 ft,"PE foliage with silk olive leaves, steel wire branches, fibreglass trunk, pot included","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",89.00,71.00,55.00,1,2000 pcs/month,15–25 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-new.webp,https://laysun.co/artificial-olive-trees,"artificial olive tree commercial, fake olive tree indoor, hotel olive tree, restaurant olive tree, NFPA 701 olive tree"
LS-OLIVE-WOOD-TRUNK-4FT,LS Real Wood Trunk Artificial Olive Tree – 4 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Authentic real wood trunk gives unmatched realism for high-end hospitality and luxury retail. Natural dried and preserved timber trunk with PE olive foliage. Popular for boutique hotels and designer interiors.,4 ft,"PE foliage, natural preserved wood trunk, steel wire branches, decorative pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",115.00,92.00,71.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-wood-trunk.webp,https://laysun.co/artificial-olive-trees,"real wood trunk artificial olive tree, authentic olive tree fake, luxury artificial olive tree, preserved wood trunk tree"
LS-OLIVE-WOOD-TRUNK-5FT,LS Real Wood Trunk Artificial Olive Tree – 5 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Authentic real wood trunk gives unmatched realism for high-end hospitality and luxury retail. Natural dried and preserved timber trunk with PE olive foliage. Popular for boutique hotels and designer interiors.,5 ft,"PE foliage, natural preserved wood trunk, steel wire branches, decorative pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",115.00,92.00,71.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-wood-trunk.webp,https://laysun.co/artificial-olive-trees,"real wood trunk artificial olive tree, authentic olive tree fake, luxury artificial olive tree, preserved wood trunk tree"
LS-OLIVE-WOOD-TRUNK-6FT,LS Real Wood Trunk Artificial Olive Tree – 6 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Authentic real wood trunk gives unmatched realism for high-end hospitality and luxury retail. Natural dried and preserved timber trunk with PE olive foliage. Popular for boutique hotels and designer interiors.,6 ft,"PE foliage, natural preserved wood trunk, steel wire branches, decorative pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",115.00,92.00,71.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-wood-trunk.webp,https://laysun.co/artificial-olive-trees,"real wood trunk artificial olive tree, authentic olive tree fake, luxury artificial olive tree, preserved wood trunk tree"
LS-OLIVE-WOOD-TRUNK-7FT,LS Real Wood Trunk Artificial Olive Tree – 7 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Authentic real wood trunk gives unmatched realism for high-end hospitality and luxury retail. Natural dried and preserved timber trunk with PE olive foliage. Popular for boutique hotels and designer interiors.,7 ft,"PE foliage, natural preserved wood trunk, steel wire branches, decorative pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",115.00,92.00,71.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-wood-trunk.webp,https://laysun.co/artificial-olive-trees,"real wood trunk artificial olive tree, authentic olive tree fake, luxury artificial olive tree, preserved wood trunk tree"
LS-OLIVE-WOOD-TRUNK-8FT,LS Real Wood Trunk Artificial Olive Tree – 8 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Authentic real wood trunk gives unmatched realism for high-end hospitality and luxury retail. Natural dried and preserved timber trunk with PE olive foliage. Popular for boutique hotels and designer interiors.,8 ft,"PE foliage, natural preserved wood trunk, steel wire branches, decorative pot","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",115.00,92.00,71.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-wood-trunk.webp,https://laysun.co/artificial-olive-trees,"real wood trunk artificial olive tree, authentic olive tree fake, luxury artificial olive tree, preserved wood trunk tree"
LS-OLIVE-OLD-STUMP-5FT,LS Old Stump Thick Trunk Artificial Olive Tree – 5 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Aged thick-trunk olive tree with a distinctive old-world character. Heavy stump-style base and gnarled trunk detail make this a standout piece for Mediterranean-themed hospitality and upscale dining.,5 ft,"PE foliage, thick fibreglass old-stump trunk with texture detail, heavy planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",105.00,84.00,65.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-old-stump.webp,https://laysun.co/artificial-olive-trees,"old stump olive tree artificial, thick trunk olive tree, aged olive tree fake, Mediterranean artificial tree"
LS-OLIVE-OLD-STUMP-6FT,LS Old Stump Thick Trunk Artificial Olive Tree – 6 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Aged thick-trunk olive tree with a distinctive old-world character. Heavy stump-style base and gnarled trunk detail make this a standout piece for Mediterranean-themed hospitality and upscale dining.,6 ft,"PE foliage, thick fibreglass old-stump trunk with texture detail, heavy planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",105.00,84.00,65.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-old-stump.webp,https://laysun.co/artificial-olive-trees,"old stump olive tree artificial, thick trunk olive tree, aged olive tree fake, Mediterranean artificial tree"
LS-OLIVE-OLD-STUMP-7FT,LS Old Stump Thick Trunk Artificial Olive Tree – 7 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Aged thick-trunk olive tree with a distinctive old-world character. Heavy stump-style base and gnarled trunk detail make this a standout piece for Mediterranean-themed hospitality and upscale dining.,7 ft,"PE foliage, thick fibreglass old-stump trunk with texture detail, heavy planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",105.00,84.00,65.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-old-stump.webp,https://laysun.co/artificial-olive-trees,"old stump olive tree artificial, thick trunk olive tree, aged olive tree fake, Mediterranean artificial tree"
LS-OLIVE-OLD-STUMP-8FT,LS Old Stump Thick Trunk Artificial Olive Tree – 8 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,Aged thick-trunk olive tree with a distinctive old-world character. Heavy stump-style base and gnarled trunk detail make this a standout piece for Mediterranean-themed hospitality and upscale dining.,8 ft,"PE foliage, thick fibreglass old-stump trunk with texture detail, heavy planter base","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",105.00,84.00,65.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-old-stump.webp,https://laysun.co/artificial-olive-trees,"old stump olive tree artificial, thick trunk olive tree, aged olive tree fake, Mediterranean artificial tree"
LS-OLIVE-WIDE-CANOPY-6FT,LS Wide Canopy Artificial Olive Tree – 6 ft,Artificial Plant & Flower/Artificial Trees/Artificial Olive Trees,Artificial Olive Trees,"Extra-wide canopy for spacious commercial environments — hotel atriums, airport lounges, corporate reception halls. Wide-spreading branch architecture fills large open volumes effectively.",6 ft,"Dense PE foliage, extended steel armature frame, fibreglass trunk, large planter","Special-order options for select products: NFPA 701, EN 13501, GB 8624 B1; confirm availability for the product and order",135.00,108.00,84.00,1,2000 pcs/month,20–30 days,"Dongguan, Guangdong, China",LaySun,Guangzhou / Shenzhen,Bank wire transfer (T/T); other methods confirmed in writing,Individual export carton with foam padding; custom branding available,https://laysun.co/images/prod-olive-ls-wide-canopy.webp,https://laysun.co/artificial-olive-trees,"wide canopy artificial olive tree, large olive tree fake, atrium olive tree, corporate lobby olive tree"
